Year,Series,Winner,W,Loser,W,Favorite,Underdog
2016,Western Conf Semifinals,Oklahoma City Thunder (3),4,San Antonio Spurs (2),2,SAS (-270),OKC (+230)
2016,Eastern Conf Finals,Cleveland Cavaliers (1),4,Toronto Raptors (2),2,CLE (-1350),TOR (+885)
2016,Western Conf Finals,Golden State Warriors (1),4,Oklahoma City Thunder (3),3,GSW (-430),OKC (+345)
2016,Finals,Cleveland Cavaliers (1),4,Golden State Warriors (1),3,GSW (-220),CLE (+180)
2015,Eastern Conf First Round,Atlanta Hawks (1),4,Brooklyn Nets (8),2,ATL (-1350),BRK (+900)
2015,Eastern Conf First Round,Cleveland Cavaliers (2),4,Boston Celtics (7),0,CLE (-5000),BOS (+2100)
2015,Eastern Conf First Round,Chicago Bulls (3),4,Milwaukee Bucks (6),2,CHI (-950),MIL (+700)
2015,Eastern Conf First Round,Washington Wizards (5),4,Toronto Raptors (4),0,TOR (-175),WAS (+155)
2015,Western Conf First Round,Golden State Warriors (1),4,New Orleans Pelicans (8),0,GSW (-3000),NOP (+1500)
2015,Western Conf First Round,Houston Rockets (2),4,Dallas Mavericks (7),1,HOU (-260),DAL (+220)
2015,Western Conf First Round,Los Angeles Clippers (3),4,San Antonio Spurs (6),3,SAS (-180),LAC (+160)
2015,Western Conf First Round,Memphis Grizzlies (5),4,Portland Trail Blazers (4),1,MEM (-225),POR (+195)
2015,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,Chicago Bulls (3),2,CLE (-240),CHI (+200)
2015,Eastern Conf Semifinals,Atlanta Hawks (1),4,Washington Wizards (5),2,ATL (-245),WAS (+205)
2015,Western Conf Semifinals,Houston Rockets (2),4,Los Angeles Clippers (3),3,HOU (-150),LAC (+130)
2015,Western Conf Semifinals,Golden State Warriors (1),4,Memphis Grizzlies (5),2,GSW (-1000),MEM (+725)
2015,Eastern Conf Finals,Cleveland Cavaliers (2),4,Atlanta Hawks (1),0,CLE (-190),ATL (+165)
2015,Western Conf Finals,Golden State Warriors (1),4,Houston Rockets (2),1,GSW (-880),HOU (+665)
