Year,Series,Winner,W,Loser,W,Favorite,Underdog
2003,Western Conf Semifinals,Dallas Mavericks (3),4,Sacramento Kings (2),3,SAC (-280),DAL (+240)
2003,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Lakers (5),2,LAL (-145),SAS (+125)
2003,Eastern Conf Finals,New Jersey Nets (2),4,Detroit Pistons (1),0,NJN (-300),DET (+250)
2003,Western Conf Finals,San Antonio Spurs (1),4,Dallas Mavericks (3),2,SAS (-380),DAL (+320)
2003,Finals,San Antonio Spurs (1),4,New Jersey Nets (2),2,SAS (-330),NJN (+260)
2002,Eastern Conf First Round,Boston Celtics (3),3,Philadelphia 76ers (6),2,BOS (-200),PHI (+170)
2002,Eastern Conf First Round,Charlotte Hornets (4),3,Orlando Magic (5),1,CHH (-300),ORL (+250)
2002,Eastern Conf First Round,Detroit Pistons (2),3,Toronto Raptors (7),2,DET (-450),TOR (+325)
2002,Eastern Conf First Round,New Jersey Nets (1),3,Indiana Pacers (8),2,NJN (-400),IND (+300)
2002,Western Conf First Round,Dallas Mavericks (4),3,Minnesota Timberwolves (5),0,DAL (-500),MIN (+400)
2002,Western Conf First Round,Los Angeles Lakers (3),3,Portland Trail Blazers (6),0,LAL (-600),POR (+450)
2002,Western Conf First Round,Sacramento Kings (1),3,Utah Jazz (8),1,SAC (-2000),UTA (+1400)
2002,Western Conf First Round,San Antonio Spurs (2),3,Seattle SuperSonics (7),2,SAS (-750),SEA (+550)
2002,Eastern Conf Semifinals,Boston Celtics (3),4,Detroit Pistons (2),1,DET (-125),BOS (+105)
2002,Eastern Conf Semifinals,New Jersey Nets (1),4,Charlotte Hornets (4),1,NJN (-160),CHH (+140)
2002,Western Conf Semifinals,Los Angeles Lakers (3),4,San Antonio Spurs (2),1,LAL (-650),SAS (+450)
2002,Western Conf Semifinals,Sacramento Kings (1),4,Dallas Mavericks (4),1,SAC (-155),DAL (+135)
2002,Eastern Conf Finals,New Jersey Nets (1),4,Boston Celtics (3),2,NJN (-135),BOS (+115)
2002,Western Conf Finals,Los Angeles Lakers (3),4,Sacramento Kings (1),3,LAL (-230),SAC (+190)
2002,Finals,Los Angeles Lakers (3),4,New Jersey Nets (1),0,LAL (-750),NJN (+550)
2001,Eastern Conf First Round,Charlotte Hornets (6),3,Miami Heat (3),0,MIA (-180),CHH (+160)
2001,Eastern Conf First Round,Milwaukee Bucks (2),3,Orlando Magic (7),1,MIL (-500),ORL (+350)
2001,Eastern Conf First Round,Philadelphia 76ers (1),3,Indiana Pacers (8),1,PHI (-600),IND (+400)
2001,Eastern Conf First Round,Toronto Raptors (5),3,New York Knicks (4),2,NYK (-170),TOR (+150)
2001,Western Conf First Round,Dallas Mavericks (5),3,Utah Jazz (4),2,UTA (-180),DAL (+160)
2001,Western Conf First Round,Los Angeles Lakers (2),3,Portland Trail Blazers (7),0,LAL (-400),POR (+300)
2001,Western Conf First Round,Sacramento Kings (3),3,Phoenix Suns (6),1,SAC (-400),PHO (+300)
2001,Western Conf First Round,San Antonio Spurs (1),3,Minnesota Timberwolves (8),1,SAS (-900),MIN (+600)
2001,Eastern Conf Semifinals,Milwaukee Bucks (2),4,Charlotte Hornets (6),3,MIL (-230),CHH (+190)
2001,Eastern Conf Semifinals,Philadelphia 76ers (1),4,Toronto Raptors (5),3,PHI (-340),TOR (+280)
2001,Western Conf Semifinals,Los Angeles Lakers (2),4,Sacramento Kings (3),0,LAL (-360),SAC (+290)
2001,Western Conf Semifinals,San Antonio Spurs (1),4,Dallas Mavericks (5),1,SAS (-650),DAL (+450)
2001,Eastern Conf Finals,Philadelphia 76ers (1),4,Milwaukee Bucks (2),3,PHI (-180),MIL (+160)
2001,Western Conf Finals,Los Angeles Lakers (2),4,San Antonio Spurs (1),0,LAL (-145),SAS (+125)
2001,Finals,Los Angeles Lakers (2),4,Philadelphia 76ers (1),1,LAL (-2000),PHI (+1600)
2000,Eastern Conf First Round,Indiana Pacers (1),3,Milwaukee Bucks (8),2,IND (-800),MIL (+550)
2000,Eastern Conf First Round,Miami Heat (2),3,Detroit Pistons (7),0,,
2000,Eastern Conf First Round,New York Knicks (3),3,Toronto Raptors (6),0,NYK (-230),TOR (+190)
2000,Eastern Conf First Round,Philadelphia 76ers (5),3,Charlotte Hornets (4),1,CHH (-140),PHI (+120)
2000,Western Conf First Round,Los Angeles Lakers (1),3,Sacramento Kings (8),2,LAL (-2000),SAC (+1200)
2000,Western Conf First Round,Phoenix Suns (5),3,San Antonio Spurs (4),1,,
2000,Western Conf First Round,Portland Trail Blazers (3),3,Minnesota Timberwolves (6),1,POR (-330),MIN (+250)
2000,Western Conf First Round,Utah Jazz (2),3,Seattle SuperSonics (7),2,UTA (-650),SEA (+450)
2000,Eastern Conf Semifinals,Indiana Pacers (1),4,Philadelphia 76ers (5),2,IND (-185),PHI (+165)
2000,Eastern Conf Semifinals,New York Knicks (3),4,Miami Heat (2),3,MIA (-155),NYK (+135)
2000,Western Conf Semifinals,Los Angeles Lakers (1),4,Phoenix Suns (5),1,LAL (-2200),PHO (+1500)
2000,Western Conf Semifinals,Portland Trail Blazers (3),4,Utah Jazz (2),1,POR (-240),UTA (+190)
2000,Eastern Conf Finals,Indiana Pacers (1),4,New York Knicks (3),2,IND (-260),NYK (+220)
2000,Western Conf Finals,Los Angeles Lakers (1),4,Portland Trail Blazers (3),3,LAL (-340),POR (+280)
2000,Finals,Los Angeles Lakers (1),4,Indiana Pacers (1),2,LAL (-800),IND (+550)
1999,Eastern Conf First Round,Atlanta Hawks (4),3,Detroit Pistons (5),2,ATL (-160),DET (+140)
1999,Eastern Conf First Round,Indiana Pacers (2),3,Milwaukee Bucks (7),0,IND (-400),MIL (+300)
1999,Eastern Conf First Round,New York Knicks (8),3,Miami Heat (1),2,MIA (-280),NYK (+230)
1999,Eastern Conf First Round,Philadelphia 76ers (6),3,Orlando Magic (3),1,ORL (-210),PHI (+175)
1999,Western Conf First Round,Los Angeles Lakers (4),3,Houston Rockets (5),1,LAL (-165),HOU (+145)
1999,Western Conf First Round,Portland Trail Blazers (2),3,Phoenix Suns (7),0,POR (-500),PHO (+350)
1999,Western Conf First Round,San Antonio Spurs (1),3,Minnesota Timberwolves (8),1,SAS (-1500),MIN (+1000)
1999,Western Conf First Round,Utah Jazz (3),3,Sacramento Kings (6),2,UTA (-1000),SAC (+700)
1999,Eastern Conf Semifinals,Indiana Pacers (2),4,Philadelphia 76ers (6),0,IND (-400),PHI (+300)
1999,Eastern Conf Semifinals,New York Knicks (8),4,Atlanta Hawks (4),0,ATL (-135),NYK (+115)
1999,Western Conf Semifinals,Portland Trail Blazers (2),4,Utah Jazz (3),2,UTA (-125),POR (+105)
1999,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Lakers (4),0,SAS (-220),LAL (+180)
1999,Eastern Conf Finals,New York Knicks (8),4,Indiana Pacers (2),2,IND (-240),NYK (+200)
1999,Western Conf Finals,San Antonio Spurs (1),4,Portland Trail Blazers (2),0,SAS (-200),POR (+170)
1999,Finals,San Antonio Spurs (1),4,New York Knicks (8),1,SAS (-900),NYK (+600)
1998,Eastern Conf First Round,Charlotte Hornets (4),3,Atlanta Hawks (5),1,CHH (-120),ATL (+100)
1998,Eastern Conf First Round,Chicago Bulls (1),3,New Jersey Nets (8),0,CHI (-2500),NJN (+1800)
1998,Eastern Conf First Round,Indiana Pacers (3),3,Cleveland Cavaliers (6),1,IND (-450),CLE (+325)
1998,Eastern Conf First Round,New York Knicks (7),3,Miami Heat (2),2,MIA (-500),NYK (+350)
1998,Western Conf First Round,Los Angeles Lakers (3),3,Portland Trail Blazers (6),1,LAL (-550),POR (+375)
1998,Western Conf First Round,San Antonio Spurs (5),3,Phoenix Suns (4),1,PHO (-135),SAS (+115)
1998,Western Conf First Round,Seattle SuperSonics (2),3,Minnesota Timberwolves (7),2,SEA (-2000),MIN (+1400)
1998,Western Conf First Round,Utah Jazz (1),3,Houston Rockets (8),2,UTA (-850),HOU (+525)
1998,Eastern Conf Semifinals,Chicago Bulls (1),4,Charlotte Hornets (4),1,CHI (-2000),CHH (+1400)
1998,Eastern Conf Semifinals,Indiana Pacers (3),4,New York Knicks (7),1,IND (-1100),NYK (+700)
1998,Western Conf Semifinals,Los Angeles Lakers (3),4,Seattle SuperSonics (2),1,LAL (-115),SEA (-105)
1998,Western Conf Semifinals,Utah Jazz (1),4,San Antonio Spurs (5),1,UTA (-270),SAS (+210)
1998,Eastern Conf Finals,Chicago Bulls (1),4,Indiana Pacers (3),3,CHI (-600),IND (+400)
1998,Western Conf Finals,Utah Jazz (1),4,Los Angeles Lakers (3),0,LAL (-130),UTA (+110)
1998,Finals,Chicago Bulls (1),4,Utah Jazz (1),2,CHI (-125),UTA (+105)
1997,Eastern Conf First Round,Atlanta Hawks (4),3,Detroit Pistons (5),2,ATL (-170),DET (+150)
1997,Eastern Conf First Round,Chicago Bulls (1),3,Washington Bullets (8),0,CHI (-2500),WSB (+1800)
1997,Eastern Conf First Round,Miami Heat (2),3,Orlando Magic (7),2,MIA (-400),ORL (+300)
1997,Eastern Conf First Round,New York Knicks (3),3,Charlotte Hornets (6),0,NYK (-250),CHH (+200)
1997,Western Conf First Round,Houston Rockets (3),3,Minnesota Timberwolves (6),0,HOU (-1300),MIN (+800)
1997,Western Conf First Round,Los Angeles Lakers (4),3,Portland Trail Blazers (5),1,LAL (-330),POR (+250)
1997,Western Conf First Round,Seattle SuperSonics (2),3,Phoenix Suns (7),2,SEA (-650),PHO (+450)
1997,Western Conf First Round,Utah Jazz (1),3,Los Angeles Clippers (8),0,UTA (-3300),LAC (+2200)
1997,Eastern Conf Semifinals,Chicago Bulls (1),4,Atlanta Hawks (4),1,CHI (-1700),ATL (+1100)
1997,Eastern Conf Semifinals,Miami Heat (2),4,New York Knicks (3),3,MIA (-145),NYK (+125)
1997,Western Conf Semifinals,Houston Rockets (3),4,Seattle SuperSonics (2),3,HOU (-130),SEA (+110)
1997,Western Conf Semifinals,Utah Jazz (1),4,Los Angeles Lakers (4),1,UTA (-270),LAL (+210)
1997,Eastern Conf Finals,Chicago Bulls (1),4,Miami Heat (2),1,CHI (-1700),MIA (+1100)
1997,Western Conf Finals,Utah Jazz (1),4,Houston Rockets (3),2,UTA (-220),HOU (+180)
1997,Finals,Chicago Bulls (1),4,Utah Jazz (1),2,CHI (-600),UTA (+400)
1996,Eastern Conf First Round,Atlanta Hawks (6),3,Indiana Pacers (3),2,IND (-140),ATL (+120)
1996,Eastern Conf First Round,Chicago Bulls (1),3,Miami Heat (8),0,CHI (-2500),MIA (+1800)
1996,Eastern Conf First Round,New York Knicks (5),3,Cleveland Cavaliers (4),0,CLE (-185),NYK (+165)
1996,Eastern Conf First Round,Orlando Magic (2),3,Detroit Pistons (7),0,ORL (-1500),DET (+1000)
1996,Western Conf First Round,Houston Rockets (5),3,Los Angeles Lakers (4),1,LAL (-145),HOU (+125)
1996,Western Conf First Round,San Antonio Spurs (2),3,Phoenix Suns (7),1,SAS (-500),PHO (+350)
1996,Western Conf First Round,Seattle SuperSonics (1),3,Sacramento Kings (8),1,SEA (-2200),SAC (+1500)
1996,Western Conf First Round,Utah Jazz (3),3,Portland Trail Blazers (6),2,UTA (-400),POR (+300)
1996,Eastern Conf Semifinals,Chicago Bulls (1),4,New York Knicks (5),1,CHI (-3500),NYK (+2200)
1996,Eastern Conf Semifinals,Orlando Magic (2),4,Atlanta Hawks (6),1,,
1996,Western Conf Semifinals,Seattle SuperSonics (1),4,Houston Rockets (5),0,SEA (-200),HOU (+170)
1996,Western Conf Semifinals,Utah Jazz (3),4,San Antonio Spurs (2),2,,
1996,Eastern Conf Finals,Chicago Bulls (1),4,Orlando Magic (2),0,CHI (-500),ORL (+350)
1996,Western Conf Finals,Seattle SuperSonics (1),4,Utah Jazz (3),3,SEA (-270),UTA (+210)
1996,Finals,Chicago Bulls (1),4,Seattle SuperSonics (1),2,CHI (-950),SEA (+650)
1995,Eastern Conf First Round,Chicago Bulls (5),3,Charlotte Hornets (4),1,CHI (-360),CHH (+280)
1995,Eastern Conf First Round,Indiana Pacers (2),3,Atlanta Hawks (7),0,IND (-360),ATL (+280)
1995,Eastern Conf First Round,New York Knicks (3),3,Cleveland Cavaliers (6),1,NYK (-400),CLE (+300)
1995,Eastern Conf First Round,Orlando Magic (1),3,Boston Celtics (8),1,ORL (-950),BOS (+650)
1995,Western Conf First Round,Houston Rockets (6),3,Utah Jazz (3),2,UTA (-270),HOU (+210)
1995,Western Conf First Round,Los Angeles Lakers (5),3,Seattle SuperSonics (4),1,SEA (-400),LAL (+300)
1995,Western Conf First Round,Phoenix Suns (2),3,Portland Trail Blazers (7),0,PHO (-400),POR (+300)
1995,Western Conf First Round,San Antonio Spurs (1),3,Denver Nuggets (8),0,SAS (-600),DEN (+400)
1995,Eastern Conf Semifinals,Indiana Pacers (2),4,New York Knicks (3),3,NYK (-140),IND (+120)
1995,Eastern Conf Semifinals,Orlando Magic (1),4,Chicago Bulls (5),2,CHI (-185),ORL (+165)
1995,Western Conf Semifinals,Houston Rockets (6),4,Phoenix Suns (2),3,PHO (-270),HOU (+210)
1995,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Lakers (5),2,SAS (-600),LAL (+400)
1995,Eastern Conf Finals,Orlando Magic (1),4,Indiana Pacers (2),3,ORL (-200),IND (+170)
1995,Western Conf Finals,Houston Rockets (6),4,San Antonio Spurs (1),2,SAS (-330),HOU (+250)
1995,Finals,Houston Rockets (6),4,Orlando Magic (1),0,ORL (-150),HOU (+130)
1994,Eastern Conf First Round,Atlanta Hawks (1),3,Miami Heat (8),2,ATL (-360),MIA (+280)
1994,Eastern Conf First Round,Chicago Bulls (3),3,Cleveland Cavaliers (6),0,CHI (-250),CLE (+200)
1994,Eastern Conf First Round,Indiana Pacers (5),3,Orlando Magic (4),0,ORL (-170),IND (+150)
1994,Eastern Conf First Round,New York Knicks (2),3,New Jersey Nets (7),1,NYK (-360),NJN (+280)
1994,Western Conf First Round,Denver Nuggets (8),3,Seattle SuperSonics (1),2,SEA (-2000),DEN (+1400)
1994,Western Conf First Round,Houston Rockets (2),3,Portland Trail Blazers (7),1,HOU (-270),POR (+210)
1994,Western Conf First Round,Phoenix Suns (3),3,Golden State Warriors (6),0,PHO (-360),GSW (+280)
1994,Western Conf First Round,Utah Jazz (5),3,San Antonio Spurs (4),1,SAS (-200),UTA (+170)
1994,Eastern Conf Semifinals,Indiana Pacers (5),4,Atlanta Hawks (1),2,ATL (-160),IND (+140)
1994,Eastern Conf Semifinals,New York Knicks (2),4,Chicago Bulls (3),3,NYK (-180),CHI (+160)
1994,Western Conf Semifinals,Houston Rockets (2),4,Phoenix Suns (3),3,HOU (-120),PHO (+100)
1994,Western Conf Semifinals,Utah Jazz (5),4,Denver Nuggets (8),3,UTA (-650),DEN (+450)
1994,Eastern Conf Finals,New York Knicks (2),4,Indiana Pacers (5),3,NYK (-200),IND (+170)
1994,Western Conf Finals,Houston Rockets (2),4,Utah Jazz (5),1,HOU (-270),UTA (+210)
1994,Finals,Houston Rockets (2),4,New York Knicks (2),3,HOU (-220),NYK (+180)
1993,Eastern Conf First Round,Charlotte Hornets (5),3,Boston Celtics (4),1,BOS (-165),CHH (+145)
1993,Eastern Conf First Round,Chicago Bulls (2),3,Atlanta Hawks (7),0,CHI (-1200),ATL (+800)
1993,Eastern Conf First Round,Cleveland Cavaliers (3),3,New Jersey Nets (6),2,CLE (-700),NJN (+500)
1993,Eastern Conf First Round,New York Knicks (1),3,Indiana Pacers (8),1,NYK (-900),IND (+600)
1993,Western Conf First Round,Houston Rockets (2),3,Los Angeles Clippers (7),2,HOU (-600),LAC (+400)
1993,Western Conf First Round,Phoenix Suns (1),3,Los Angeles Lakers (8),2,PHO (-3000),LAL (+2000)
1993,Western Conf First Round,San Antonio Spurs (5),3,Portland Trail Blazers (4),1,POR (-250),SAS (+200)
1993,Western Conf First Round,Seattle SuperSonics (3),3,Utah Jazz (6),2,SEA (-350),UTA (+275)
1993,Eastern Conf Semifinals,Chicago Bulls (2),4,Cleveland Cavaliers (3),0,CHI (-500),CLE (+350)
1993,Eastern Conf Semifinals,New York Knicks (1),4,Charlotte Hornets (5),1,,
1993,Western Conf Semifinals,Phoenix Suns (1),4,San Antonio Spurs (5),2,PHO (-650),SAS (+450)
1993,Western Conf Semifinals,Seattle SuperSonics (3),4,Houston Rockets (2),3,SEA (-135),HOU (+115)
1993,Eastern Conf Finals,Chicago Bulls (2),4,New York Knicks (1),2,CHI (-150),NYK (+130)
1993,Western Conf Finals,Phoenix Suns (1),4,Seattle SuperSonics (3),3,PHO (-330),SEA (+250)
1993,Finals,Chicago Bulls (2),4,Phoenix Suns (1),2,CHI (-240),PHO (+190)
1992,Eastern Conf First Round,Boston Celtics (2),3,Indiana Pacers (7),0,BOS (-550),IND (+350)
1992,Eastern Conf First Round,Chicago Bulls (1),3,Miami Heat (8),0,CHI (-10000),MIA (+7500)
1992,Eastern Conf First Round,Cleveland Cavaliers (3),3,New Jersey Nets (6),1,CLE (-850),NJN (+550)
1992,Eastern Conf First Round,New York Knicks (4),3,Detroit Pistons (5),2,NYK (-160),DET (+120)
1992,Western Conf First Round,Phoenix Suns (4),3,San Antonio Spurs (5),0,PHO (-1500),SAS (+1000)
1992,Western Conf First Round,Portland Trail Blazers (1),3,Los Angeles Lakers (8),1,POR (-2000),LAL (+1500)
1992,Western Conf First Round,Seattle SuperSonics (6),3,Golden State Warriors (3),1,GSW (-270),SEA (+210)
1992,Western Conf First Round,Utah Jazz (2),3,Los Angeles Clippers (7),2,UTA (-450),LAC (+325)
1992,Eastern Conf Semifinals,Chicago Bulls (1),4,New York Knicks (4),3,CHI (-2500),NYK (+1700)
1992,Eastern Conf Semifinals,Cleveland Cavaliers (3),4,Boston Celtics (2),3,CLE (-170),BOS (+130)
1992,Western Conf Semifinals,Portland Trail Blazers (1),4,Phoenix Suns (4),1,POR (-500),PHO (+350)
1992,Western Conf Semifinals,Utah Jazz (2),4,Seattle SuperSonics (6),1,UTA (-200),SEA (+160)
1992,Eastern Conf Finals,Chicago Bulls (1),4,Cleveland Cavaliers (3),2,CHI (-650),CLE (+450)
1992,Western Conf Finals,Portland Trail Blazers (1),4,Utah Jazz (2),2,POR (-360),UTA (+280)
1992,Finals,Chicago Bulls (1),4,Portland Trail Blazers (1),2,CHI (-250),POR (+200)
1991,Eastern Conf First Round,Boston Celtics (2),3,Indiana Pacers (7),2,BOS (-900),IND (+600)
1991,Eastern Conf First Round,Chicago Bulls (1),3,New York Knicks (8),0,CHI (-1200),NYK (+800)
1991,Eastern Conf First Round,Detroit Pistons (3),3,Atlanta Hawks (6),2,DET (-400),ATL (+300)
1991,Eastern Conf First Round,Philadelphia 76ers (5),3,Milwaukee Bucks (4),0,MIL (-180),PHI (+140)
1991,Western Conf First Round,Golden State Warriors (7),3,San Antonio Spurs (2),1,SAS (-500),GSW (+350)
1991,Western Conf First Round,Los Angeles Lakers (3),3,Houston Rockets (6),0,LAL (-360),HOU (+280)
1991,Western Conf First Round,Portland Trail Blazers (1),3,Seattle SuperSonics (8),2,POR (-1200),SEA (+800)
1991,Western Conf First Round,Utah Jazz (5),3,Phoenix Suns (4),1,PHO (-360),UTA (+280)
1991,Eastern Conf Semifinals,Chicago Bulls (1),4,Philadelphia 76ers (5),1,CHI (-500),PHI (+350)
1991,Eastern Conf Semifinals,Detroit Pistons (3),4,Boston Celtics (2),2,BOS (-270),DET (+210)
1991,Western Conf Semifinals,Los Angeles Lakers (3),4,Golden State Warriors (7),1,LAL (-800),GSW (+550)
1991,Western Conf Semifinals,Portland Trail Blazers (1),4,Utah Jazz (5),1,POR (-650),UTA (+450)
1991,Eastern Conf Finals,Chicago Bulls (1),4,Detroit Pistons (3),0,CHI (-270),DET (+210)
1991,Western Conf Finals,Los Angeles Lakers (3),4,Portland Trail Blazers (1),2,POR (-190),LAL (+150)
1991,Finals,Chicago Bulls (1),4,Los Angeles Lakers (3),1,CHI (-200),LAL (+170)
1990,Eastern Conf First Round,Chicago Bulls (3),3,Milwaukee Bucks (6),1,CHI (-650),MIL (+450)
1990,Eastern Conf First Round,Detroit Pistons (1),3,Indiana Pacers (8),0,DET (-1200),IND (+800)
1990,Eastern Conf First Round,New York Knicks (5),3,Boston Celtics (4),2,BOS (-450),NYK (+325)
1990,Eastern Conf First Round,Philadelphia 76ers (2),3,Cleveland Cavaliers (7),2,PHI (-450),CLE (+325)
1990,Western Conf First Round,Los Angeles Lakers (1),3,Houston Rockets (8),1,LAL (-1200),HOU (+800)
1990,Western Conf First Round,Phoenix Suns (5),3,Utah Jazz (4),2,UTA (-160),PHO (+140)
1990,Western Conf First Round,Portland Trail Blazers (3),3,Dallas Mavericks (6),0,POR (-600),DAL (+400)
1990,Western Conf First Round,San Antonio Spurs (2),3,Denver Nuggets (7),0,SAS (-500),DEN (+350)
1990,Eastern Conf Semifinals,Chicago Bulls (3),4,Philadelphia 76ers (2),1,CHI (-160),PHI (+140)
1990,Eastern Conf Semifinals,Detroit Pistons (1),4,New York Knicks (5),1,DET (-1500),NYK (+1000)
1990,Western Conf Semifinals,Phoenix Suns (5),4,Los Angeles Lakers (1),1,LAL (-700),PHO (+500)
1990,Western Conf Semifinals,Portland Trail Blazers (3),4,San Antonio Spurs (2),3,POR (-200),SAS (+170)
1990,Eastern Conf Finals,Detroit Pistons (1),4,Chicago Bulls (3),3,DET (-280),CHI (+220)
1990,Western Conf Finals,Portland Trail Blazers (3),4,Phoenix Suns (5),2,PHO (-120),POR (+100)
1990,Finals,Detroit Pistons (1),4,Portland Trail Blazers (3),1,DET (-400),POR (+300)
1989,Eastern Conf First Round,Chicago Bulls (6),3,Cleveland Cavaliers (3),2,CLE (-500),CHI (+350)
1989,Eastern Conf First Round,Detroit Pistons (1),3,Boston Celtics (8),0,DET (-2000),BOS (+1500)
1989,Eastern Conf First Round,Milwaukee Bucks (5),3,Atlanta Hawks (4),2,ATL (-250),MIL (+200)
1989,Eastern Conf First Round,New York Knicks (2),3,Philadelphia 76ers (7),0,NYK (-350),PHI (+275)
1989,Western Conf First Round,Golden State Warriors (7),3,Utah Jazz (2),0,UTA (-1000),GSW (+700)
1989,Western Conf First Round,Los Angeles Lakers (1),3,Portland Trail Blazers (8),0,LAL (-2500),POR (+2000)
1989,Western Conf First Round,Phoenix Suns (3),3,Denver Nuggets (6),0,PHO (-1000),DEN (+700)
1989,Western Conf First Round,Seattle SuperSonics (4),3,Houston Rockets (5),1,SEA (-280),HOU (+230)
1989,Eastern Conf Semifinals,Chicago Bulls (6),4,New York Knicks (2),2,NYK (-500),CHI (+350)
1989,Eastern Conf Semifinals,Detroit Pistons (1),4,Milwaukee Bucks (5),0,DET (-700),MIL (+500)
1989,Western Conf Semifinals,Los Angeles Lakers (1),4,Seattle SuperSonics (4),0,LAL (-700),SEA (+500)
1989,Western Conf Semifinals,Phoenix Suns (3),4,Golden State Warriors (7),1,PHO (-850),GSW (+550)
1989,Eastern Conf Finals,Detroit Pistons (1),4,Chicago Bulls (6),2,DET (-650),CHI (+450)
1989,Western Conf Finals,Los Angeles Lakers (1),4,Phoenix Suns (3),0,LAL (-300),PHO (+240)
1989,Finals,Detroit Pistons (1),4,Los Angeles Lakers (1),0,LAL (-120),DET (+100)
1988,Eastern Conf First Round,Atlanta Hawks (4),3,Milwaukee Bucks (5),2,ATL (-450),MIL (+300)
1988,Eastern Conf First Round,Boston Celtics (1),3,New York Knicks (8),1,BOS (-1200),NYK (+800)
1988,Eastern Conf First Round,Chicago Bulls (3),3,Cleveland Cavaliers (6),2,CHI (-300),CLE (+240)
1988,Eastern Conf First Round,Detroit Pistons (2),3,Washington Bullets (7),2,DET (-800),WSB (+550)
1988,Western Conf First Round,Dallas Mavericks (3),3,Houston Rockets (6),1,DAL (-400),HOU (+300)
1988,Western Conf First Round,Denver Nuggets (2),3,Seattle SuperSonics (7),2,DEN (-500),SEA (+350)
1988,Western Conf First Round,Los Angeles Lakers (1),3,San Antonio Spurs (8),0,LAL (-3000),SAS (+2000)
1988,Western Conf First Round,Utah Jazz (5),3,Portland Trail Blazers (4),1,POR (-250),UTA (+200)
1988,Eastern Conf Semifinals,Boston Celtics (1),4,Atlanta Hawks (4),3,BOS (-500),ATL (+300)
1988,Eastern Conf Semifinals,Detroit Pistons (2),4,Chicago Bulls (3),1,DET (-240),CHI (+200)
1988,Western Conf Semifinals,Dallas Mavericks (3),4,Denver Nuggets (2),2,DEN (-170),DAL (+150)
1988,Western Conf Semifinals,Los Angeles Lakers (1),4,Utah Jazz (5),3,,
1988,Eastern Conf Finals,Detroit Pistons (2),4,Boston Celtics (1),2,BOS (-250),DET (+200)
1988,Western Conf Finals,Los Angeles Lakers (1),4,Dallas Mavericks (3),3,LAL (-450),DAL (+300)
1988,Finals,Los Angeles Lakers (1),4,Detroit Pistons (2),3,LAL (-260),DET (+210)
1987,Eastern Conf First Round,Atlanta Hawks (2),3,Indiana Pacers (7),1,,
1987,Eastern Conf First Round,Boston Celtics (1),3,Chicago Bulls (8),0,,
1987,Eastern Conf First Round,Detroit Pistons (3),3,Washington Bullets (6),0,,
1987,Eastern Conf First Round,Milwaukee Bucks (4),3,Philadelphia 76ers (5),2,,
1987,Western Conf First Round,Golden State Warriors (5),3,Utah Jazz (4),2,,
1987,Western Conf First Round,Houston Rockets (6),3,Portland Trail Blazers (3),1,,
1987,Western Conf First Round,Los Angeles Lakers (1),3,Denver Nuggets (8),0,,
1987,Western Conf First Round,Seattle SuperSonics (7),3,Dallas Mavericks (2),1,,
1987,Eastern Conf Semifinals,Boston Celtics (1),4,Milwaukee Bucks (4),3,,
1987,Eastern Conf Semifinals,Detroit Pistons (3),4,Atlanta Hawks (2),1,,
1987,Western Conf Semifinals,Los Angeles Lakers (1),4,Golden State Warriors (5),1,,
1987,Western Conf Semifinals,Seattle SuperSonics (7),4,Houston Rockets (6),2,,
1987,Eastern Conf Finals,Boston Celtics (1),4,Detroit Pistons (3),3,,
1987,Western Conf Finals,Los Angeles Lakers (1),4,Seattle SuperSonics (7),0,,
1987,Finals,Los Angeles Lakers (1),4,Boston Celtics (1),2,,
1986,Eastern Conf First Round,Atlanta Hawks (4),3,Detroit Pistons (5),1,,
1986,Eastern Conf First Round,Boston Celtics (1),3,Chicago Bulls (8),0,,
1986,Eastern Conf First Round,Milwaukee Bucks (2),3,New Jersey Nets (7),0,,
1986,Eastern Conf First Round,Philadelphia 76ers (3),3,Washington Bullets (6),2,,
1986,Western Conf First Round,Dallas Mavericks (4),3,Utah Jazz (5),1,,
1986,Western Conf First Round,Denver Nuggets (3),3,Portland Trail Blazers (6),1,,
1986,Western Conf First Round,Houston Rockets (2),3,Sacramento Kings (7),0,,
1986,Western Conf First Round,Los Angeles Lakers (1),3,San Antonio Spurs (8),0,,
1986,Eastern Conf Semifinals,Boston Celtics (1),4,Atlanta Hawks (4),1,,
1986,Eastern Conf Semifinals,Milwaukee Bucks (2),4,Philadelphia 76ers (3),3,,
1986,Western Conf Semifinals,Houston Rockets (2),4,Denver Nuggets (3),2,,
1986,Western Conf Semifinals,Los Angeles Lakers (1),4,Dallas Mavericks (4),2,,
1986,Eastern Conf Finals,Boston Celtics (1),4,Milwaukee Bucks (2),0,,
1986,Western Conf Finals,Houston Rockets (2),4,Los Angeles Lakers (1),1,,
1986,Finals,Boston Celtics (1),4,Houston Rockets (2),2,,
1985,Eastern Conf First Round,Boston Celtics (1),3,Cleveland Cavaliers (8),1,,
1985,Eastern Conf First Round,Detroit Pistons (4),3,New Jersey Nets (5),0,,
1985,Eastern Conf First Round,Milwaukee Bucks (2),3,Chicago Bulls (7),1,,
